stratum,round_id,coder_id,newcomer
3.0,13565,7213681,0
3.0,12198,7213681,0
3.0,12200,7213681,0
3.0,13565,7527926,0
3.0,12200,7527926,0
3.0,13565,8400878,0
3.0,12200,8400878,0
3.0,13565,15635590,0
3.0,12198,15635590,0
3.0,13565,15781032,0
3.0,12198,15781032,0
3.0,12200,15781032,0
3.0,13565,15927969,0
3.0,12200,15927969,0
3.0,13565,21923970,0
3.0,12198,21923970,0
3.0,12200,21923970,0
3.0,13565,22074910,0
3.0,12198,22074910,0
3.0,13565,22685656,0
3.0,12198,22685656,0
3.0,13565,22715204,0
3.0,12198,22715204,0
3.0,13565,22721952,0
3.0,12200,22721952,0
4.0,11136,10039742,0
4.0,14354,10039742,0
4.0,13795,10039742,0
4.0,11136,10435514,0
4.0,14354,10435514,0
4.0,13795,10435514,0
4.0,11136,16058913,0
4.0,13795,16058913,0
4.0,11136,19841837,0
4.0,13795,19841837,0
4.0,11136,20994662,0
4.0,14354,20994662,0
4.0,13795,20994662,0
4.0,11136,21990198,0
4.0,14354,21990198,0
4.0,13795,21990198,0
4.0,11136,22635428,0
4.0,13795,22635428,0
4.0,11136,22660509,0
4.0,13795,22660509,0
4.0,11136,22675206,0
4.0,14354,22675206,0
4.0,11136,22694152,0
4.0,14354,22694152,0
4.0,13795,22694152,0
4.0,11136,22713340,0
4.0,13795,22713340,0
5.0,13923,8436045,0
5.0,14455,8436045,0
5.0,13923,13274356,0
5.0,14455,13274356,0
5.0,12204,13274356,0
5.0,13709,13274356,0
5.0,13923,15781032,0
5.0,14455,15781032,0
5.0,12204,15781032,0
5.0,13709,15781032,0
5.0,13923,15795618,0
5.0,13709,15795618,0
5.0,13923,16064986,0
5.0,12204,16064986,0
5.0,13709,16064986,0
5.0,13923,20771416,0
5.0,13709,20771416,0
5.0,13923,21162075,0
5.0,13709,21162075,0
5.0,13923,22504845,0
5.0,12204,22504845,0
5.0,13923,22635428,0
5.0,12204,22635428,0
5.0,13923,22640357,0
5.0,12204,22640357,0
5.0,13923,22656472,0
5.0,12204,22656472,0
5.0,13709,22656472,0
5.0,13923,22657314,0
5.0,13709,22657314,0
5.0,13923,22675206,0
5.0,13709,22675206,0
5.0,13923,22679947,0
5.0,14455,22679947,0
5.0,13923,22694152,0
5.0,13709,22694152,0
5.0,13923,22694284,0
5.0,12204,22694284,0
5.0,13923,22694931,0
5.0,13709,22694931,0
5.0,13923,22715204,0
5.0,12204,22715204,0
5.0,13709,22715204,0
5.0,13923,22744421,0
5.0,13709,22744421,0
5.0,13923,22748650,0
5.0,13709,22748650,0
5.0,13923,22754587,0
5.0,13709,22754587,0
5.0,13923,22826277,0
5.0,14455,22826277,0
6.0,16887,141650,0
6.0,16702,141650,0
6.0,16704,141650,0
6.0,16887,282718,0
6.0,16702,282718,0
6.0,16704,282718,0
6.0,16887,7213681,0
6.0,13768,7213681,0
6.0,16702,7213681,0
6.0,16704,7213681,0
6.0,16887,13274356,0
6.0,16702,13274356,0
6.0,16704,13274356,0
6.0,16887,14883513,0
6.0,16702,14883513,0
6.0,16887,16017427,0
6.0,16702,16017427,0
6.0,16704,16017427,0
6.0,16887,19740398,0
6.0,13768,19740398,0
6.0,16887,20315020,0
6.0,16702,20315020,0
6.0,16704,20315020,0
6.0,16887,20555484,0
6.0,16702,20555484,0
6.0,16887,21688563,0
6.0,16702,21688563,0
6.0,16887,22389733,0
6.0,16702,22389733,0
6.0,16887,22653720,0
6.0,16704,22653720,0
6.0,16887,22673613,0
6.0,16702,22673613,0
6.0,16704,22673613,0
6.0,16887,22727735,0
6.0,13768,22727735,0
6.0,16704,22727735,0
6.0,16887,22729239,0
6.0,16702,22729239,0
6.0,16704,22729239,0
6.0,16887,22739971,0
6.0,16702,22739971,0
6.0,16704,22739971,0
6.0,16887,22748044,0
6.0,16702,22748044,0
6.0,16704,22748044,0
6.0,16887,22768223,0
6.0,16702,22768223,0
6.0,16704,22768223,0
6.0,16887,22827765,0
6.0,16702,22827765,0
6.0,16704,22827765,0
6.0,16887,22828541,0
6.0,16702,22828541,0
6.0,16704,22828541,0
6.0,16887,22846688,0
6.0,16702,22846688,0
6.0,16704,22846688,0
6.0,16887,22906664,0
6.0,16702,22906664,0
6.0,16704,22906664,0
6.0,16887,22912209,0
6.0,16702,22912209,0
6.0,16704,22912209,0
6.0,16887,22924522,0
6.0,16702,22924522,0
6.0,16704,22924522,0
6.0,16887,22931891,0
6.0,16704,22931891,0
